#Main界面	
#Mod模块	
#SkillTip	
#UI	
#UI系列	
#交易	
#交易接口	
#任务	
#休息界面	
#传言	
#传送界面	
#传闻	
#修理界面	
#共享	
#创角界面	
#区域	
#后面有留空格键是要做排版	
#地图接口(任务接口)	
#天赋接口(感悟接口)	
#存读档	
#异常状态TIP	
#感悟	
#成就界面	
#战斗	
#战斗界面	
#战斗讯息	
#战斗跳的讯息	
#技能界面(武学)	
#拆解界面	
#按键TIP	
#按键提示对应	
#接口名称	
#方位条界面	
#淬炼界面	
#游戏提示	
#游戏难度	
#炼金接口(生产接口)	
#热键设定接口	
#熔炼界面	
#环境设定接口	
#画面提示	
#称号界面	
#系统接口	
#结局 02	
#结局 03	
#结局 04	
#结局 05	
#结局 06	
#结局 07	
#结局 08	
#结局 09	
#结局 10	
#结局 11	
#结局 12	
#结局 13	
#结局 14	
#结局 15	
#结局 16	
#结局 17	
#结局 18	
#结局 19	
#结局 20	
#结局 21	
#结局 22	
#结局 23	
#结局 24	
#结局00	
#结局01	
#自宫	
#范围选择	
#说明分类	
#追踪的任务接口	
#重锻界面	
#锻造	
#锻造界面	
#队伍	
#队伍接口(物品接口)	
#阴阳	
#阵营单位	
AchievementMode0	Single game system
UISkillConfirmButton	Apply skill sets
UISkillCounterSkill	Equippable Counter-Strikes
UISkillExpDistributeTip1	Experience points gained are allocated to the secret book in proportion to the ratio, with higher ratios resulting in less character growth. experience points, but you can gain more secret experience points.
UISkillExpDistributeTip2	(Effect applied to all teammates)
UISKillInventoryAllChoose	Select all
UISkillInventoryFilter	Secret Show Category
UISkillInventoryFilterButton	Screening
UISkillLearnedSkill	Martial Arts Practiced
UISkillLearningBook	Practice
UISkillLearnSkill	Practicing Martial Arts
UISkillNeigongSkill	Runnable Inner Workings
UISkillNodeClickDialog	Learning {0} will cost {1} skill points
UISkillPropertyTitle	Attributes
UISkillRemovebook	Unloading
UISkillTransfer	Convert XP
UISkillTransferExp	Do I want to convert {0} points of secret experience to character experience?
UISkillTransferNoExp	There are no experience points to convert to this secret.
UISkillTreeNodeState1	Training
UISkillTreeNodeState2	Running
UISkillTreeNodeState3	Counterattacking
UISkillUseNeigongButton	Running the Inner Workings
UISkillWorkingSkill	Running
UISmeltAutoFill	Automatic placement
UISmeltAutoReturn	Retrieved in full
UISmeltConfirm	Confirmation of melting
UISmeltMaterialHintText	Rarity of {0} of {1} total of {2}
UISmeltNoMaterials	Missing the materials needed for melting!
UIStoreChange	Exchange
UIStoreChangeTitle	Exchange Item
UIStoreMoneyHave	Amount:
UIStoreTransaction	Confirm Trade
UIStoreTransactionTitle	Trade Items
UISystemAchievement	List of Achievements
UISystemContinue	Continue game
UISystemEnvironment	Environment settings
UISystemEscape	Escape from being stuck
UISystemExit	Leave the game
UISystemHelp	Game Encyclopedia
UISystemKeys	Key Setting
UISystemLoad	Load game
UISystemReturn	Back to the main menu
UISystemSave	Saved Games
UITalentConfirmButton	Applying a talent configuration
UITalentNodeClickDialog	Mastery {0} will cost {1} Sense Points
UITeamDuration	Duration {0} When
UITeamEquipColumn0	Primary
UITeamEquipColumn1	Secondary
UITeamEquipColumn2	Armor
UITeamEquipColumn3	Accessory
UITeamEquipColumn4	Costume
UITeamExpLabel	Exp
UITeamLevelLabel	Rank
UITeamNoNickname	No title
UITeamPersonality1	Personality
UITeamPersonality2	Evil
UITeamPersonality3	Good
UITeamPersonality4	Calm
UITeamPersonality5	Wild
UITeamPersonality6	Yin
UITeamPersonality7	Yang
UITeamResidual	Remaining {0} hours
UITeamSkillProperty	Martial Arts
UITeamTalentName	Talents
UITeamWeightLabel	Weight
UITitleLoad	Battle again
UITitleMod	Module selection
UITitleModText	Current Module : Legend of Heroic Warriors
UITitleNewGame	New to the He Luo World
UITrackedQuest	Mission tracking
UITrackedQuestTitle	No current tracked tasks
UITransferMessage	Go to
UITransferTitle	Send
UnitSelector	Single
value	Value
Weight	Weight
YinAndYang0	Zhi Yin
YinAndYang1	Shao Yin
YinAndYang2	
YinAndYang3	Shao Yang
YinAndYang4	Zhi Yang
